,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,VOM,c_b,c_v,capacity,capture rate,capture_rate,compression-electricity-input,compression-heat-output,discount rate,efficiency,efficiency-heat,electricity-input,fuel,heat-input,heat-output,investment,lifetime,min_fill_level,p_nom_ratio,fixed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Ammonia cracker,,,0,,4.3,0,,,,,,,,0.07,1,,,0,,,1062107.74,25,,,136810.6473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioSNG,0.34,0.66,0,0.24,1.64,1.7,,,,0.98,,,,0.07,0.63,,,0,,,1600000,25,,,163536.8276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BtL,0.27,0.73,0,0.27,2.67,1.06,,,,0.98,,,,0.07,0.38,,,0,,,3000000,25,,,337531.5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT,,,0,,3.35,4.2,2,0.15,,,,,,0.07,0.58,,,0,,,830000,25,,,99027.72929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 (g) fill compressor station,,,0,,1.7,0,,,,,,,,0.07,1,,,0,,,1498.95,20,,,166.972426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 (g) pipeline,,,0,,1.5,0,,,,,,,,0.07,1,,,0,,,79,50,,,6.909328114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 (g) submarine pipeline,,,0,,3,0,,,,,,,,0.07,1,,,0,,,114.89,30,,,12.7052719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 (l) transport ship,,,0,,3.5,0,,,58300,,,,,0.07,1,,,0,,,151000000,25,,,18242388.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 evaporation,,,0,,3.5,0,,,,,,,,0.07,1,,,0,,,87600,30,,,10125.36895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 liquefaction,,,0,,3.5,0,,,,,,,,0.07,1,,,0,,,232130,25,,,28043.74536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 liquefaction,,,0,,5,0,,,,,,,,0.07,1,,,0,,,16.03,25,,,2.177042591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 pipeline,,,0,,0.9,0,,,,,,,,0.07,1,,,0,,,2000,50,,,162.9196991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 storage tank,,,0,,1,0,,,,,,,,0.07,1,,,0,,,2528.17,25,,,242.2252753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
